업종,상장일
소프트웨어  개발 및 공급업,2022-09-26
금융  지원 서비스업,2022-09-22
금융  지원 서비스업,2022-09-15
금융  지원 서비스업,2022-09-07
금융  지원 서비스업,2022-08-26
금융  지원 서비스업,2022-08-26
특수  목적용 기계 제조업,2022-08-22
운송장비  임대업,2022-08-22
기타  금속 가공제품 제조업,2022-08-09
기타  화학제품 제조업,2022-08-04
금융  지원 서비스업,2022-08-04
건물설비  설치 공사업,2022-08-01
금융  지원 서비스업,2022-07-29
그외  기타 제품 제조업,2022-07-29
기초  화학물질 제조업,2022-07-28
자연과학  및 공학 연구개발업,2022-07-28
자연과학  및 공학 연구개발업,2022-07-27
금융  지원 서비스업,2022-07-22
소프트웨어  개발 및 공급업,2022-07-21
의약품  제조업,2022-07-20
특수  목적용 기계 제조업,2022-07-15
금융  지원 서비스업,2022-07-14
기타  화학제품 제조업,2022-07-14
소프트웨어  개발 및 공급업,2022-07-07
반도체  제조업,2022-07-01
금융  지원 서비스업,2022-06-30
금융  지원 서비스업,2022-06-28
금융  지원 서비스업,2022-06-24
특수  목적용 기계 제조업,2022-06-24
기초  의약물질 및 생물학적 제제 제조업,2022-06-24
기타  운송관련 서비스업,2022-06-23
금융  지원 서비스업,2022-06-23
소프트웨어  개발 및 공급업,2022-06-20
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-06-17
특수  목적용 기계 제조업,2022-06-15
생활용품  도매업,2022-06-03
부동산  임대 및 공급업,2022-05-31
금융  지원 서비스업,2022-05-26
반도체  제조업,2022-05-20
건물  건설업,2022-05-16
금융  지원 서비스업,2022-04-29
금융  지원 서비스업,2022-04-28
"영화,  비디오물, 방송프로그램 제작 및 배급업",2022-04-28
금융  지원 서비스업,2022-04-27
금융  지원 서비스업,2022-04-21
금융  지원 서비스업,2022-04-07
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-04-01
금융  지원 서비스업,2022-03-31
부동산  임대 및 공급업,2022-03-28
기타  금속 가공제품 제조업,2022-03-24
"섬유,  의복, 신발 및 가죽제품 소매업",2022-03-23
특수  목적용 기계 제조업,2022-03-18
소프트웨어  개발 및 공급업,2022-03-10
금융  지원 서비스업,2022-03-07
의료용  기기 제조업,2022-03-03
반도체  제조업,2022-03-03
전자부품  제조업,2022-02-28
기타  금융업,2022-02-25
금융  지원 서비스업,2022-02-25
운동  및 경기용구 제조업,2022-02-24
"측정,  시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2022-02-23
기초  의약물질 및 생물학적 제제 제조업,2022-02-21
금융  지원 서비스업,2022-02-21
금융  지원 서비스업,2022-02-18
보험  및 연금관련 서비스업,2022-02-16
특수  목적용 기계 제조업,2022-02-08
플라스틱제품  제조업,2022-02-07
소프트웨어  개발 및 공급업,2022-02-04
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-02-04
일차전지  및 축전지 제조업,2022-01-27
의약품  제조업,2022-01-24
상품  중개업,2022-01-24
특수  목적용 기계 제조업,2022-01-21
기타  금융업,2022-01-20
자동차  부품 및 내장품 판매업,2022-01-20
"영화,  비디오물, 방송프로그램 제작 및 배급업",2021-12-30
금융  지원 서비스업,2021-12-27
금융  지원 서비스업,2021-12-24
금융  지원 서비스업,2021-12-20
금융  지원 서비스업,2021-12-20
기타  금융업,2021-12-16
소프트웨어  개발 및 공급업,2021-12-14
제재  및 목재 가공업,2021-12-13
부동산  임대 및 공급업,2021-12-10
자연과학  및 공학 연구개발업,2021-12-10
부동산  임대 및 공급업,2021-12-03
금융  지원 서비스업,2021-12-02
의료용  기기 제조업,2021-11-30
기타  금융업,2021-11-29
소프트웨어  개발 및 공급업,2021-11-23
오디오물  출판 및 원판 녹음업,2021-11-22
부동산  임대 및 공급업,2021-11-18
특수  목적용 기계 제조업,2021-11-18
소프트웨어  개발 및 공급업,2021-11-17
소프트웨어  개발 및 공급업,2021-11-11
전자부품  제조업,2021-11-11
소프트웨어  개발 및 공급업,2021-11-10
소프트웨어  개발 및 공급업,2021-11-10
자연과학  및 공학 연구개발업,2021-11-08
금융  지원 서비스업,2021-11-03
그외  기타 제품 제조업,2021-11-03
기초  화학물질 제조업,2021-11-01
기타  정보 서비스업,2021-10-29
특수  목적용 기계 제조업,2021-10-29
기타  화학제품 제조업,2021-10-28
전구  및 조명장치 제조업,2021-10-22
자연과학  및 공학 연구개발업,2021-10-22
특수  목적용 기계 제조업,2021-10-21
소프트웨어  개발 및 공급업,2021-10-15
소프트웨어  개발 및 공급업,2021-10-14
자동차  판매업,2021-10-13
전자부품  제조업,2021-10-08
일반  목적용 기계 제조업,2021-10-07
특수  목적용 기계 제조업,2021-10-07
금융  지원 서비스업,2021-10-07
금융  지원 서비스업,2021-10-05
상품  종합 도매업,2021-09-29
기타  식품 제조업,2021-09-29
기타  식품 제조업,2021-09-28
기초  의약물질 및 생물학적 제제 제조업,2021-09-27
금융  지원 서비스업,2021-09-27
금융  지원 서비스업,2021-09-17
선박  및 보트 건조업,2021-09-17
부동산  임대 및 공급업,2021-09-14
금융  지원 서비스업,2021-09-13
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2021-09-10
자연과학  및 공학 연구개발업,2021-09-08
금융  지원 서비스업,2021-09-03
그외  기타 운송장비 제조업,2021-09-01
부동산  임대 및 공급업,2021-08-27
자연과학  및 공학 연구개발업,2021-08-25
1차  철강 제조업,2021-08-20
운송장비  임대업,2021-08-19
소프트웨어  개발 및 공급업,2021-08-19
소프트웨어  개발 및 공급업,2021-08-17
의료용  기기 제조업,2021-08-17
소프트웨어  개발 및 공급업,2021-08-13
소프트웨어  개발 및 공급업,2021-08-12
소프트웨어  개발 및 공급업,2021-08-11
소프트웨어  개발 및 공급업,2021-08-10
의약품  제조업,2021-08-09
플라스틱제품  제조업,2021-08-09
은행  및 저축기관,2021-08-06
금융  지원 서비스업,2021-08-05
가정용  기기 제조업,2021-07-28
소프트웨어  개발 및 공급업,2021-07-27
자연과학  및 공학 연구개발업,2021-07-22
의료용  기기 제조업,2021-07-16
"컴퓨터  프로그래밍, 시스템 통합 및 관리업",2021-07-13
영상  및 음향기기 제조업,2021-07-06
전자부품  제조업,2021-06-25
소프트웨어  개발 및 공급업,2021-06-24
소프트웨어  개발 및 공급업,2021-06-18
특수  목적용 기계 제조업,2021-06-17
금융  지원 서비스업,2021-06-17
반도체  제조업,2021-06-11
"건축기술,  엔지니어링 및 관련 기술 서비스업",2021-06-04
자연과학  및 공학 연구개발업,2021-06-03
기타  화학제품 제조업,2021-05-28
기타  금융업,2021-05-27
알코올음료  제조업,2021-05-26
의료용  기기 제조업,2021-05-26
봉제의복  제조업,2021-05-21
금융  지원 서비스업,2021-05-21
전자부품  제조업,2021-05-21
금융  지원 서비스업,2021-05-21
전자부품  제조업,2021-05-20
기타  화학제품 제조업,2021-05-17
기타  식품 제조업,2021-05-14
일차전지  및 축전지 제조업,2021-05-11
금융  지원 서비스업,2021-05-10
소프트웨어  개발 및 공급업,2021-04-28
"컴퓨터  프로그래밍, 시스템 통합 및 관리업",2021-04-21
기타  금속 가공제품 제조업,2021-04-21
금융  지원 서비스업,2021-04-08
금융  지원 서비스업,2021-04-05
기타  전기장비 제조업,2021-04-01
"영화,  비디오물, 방송프로그램 제작 및 배급업",2021-03-24
통신  및 방송 장비 제조업,2021-03-24
소프트웨어  개발 및 공급업,2021-03-23
기초  의약물질 및 생물학적 제제 제조업,2021-03-18
의료용  기기 제조업,2021-03-17
금융  지원 서비스업,2021-03-16
자연과학  및 공학 연구개발업,2021-03-16
자동차  신품 부품 제조업,2021-03-15
소프트웨어  개발 및 공급업,2021-03-11
의약품  제조업,2021-03-11
전자부품  제조업,2021-03-09
금융  지원 서비스업,2021-03-05
소프트웨어  개발 및 공급업,2021-02-26
그외  기타 제품 제조업,2021-02-26
특수  목적용 기계 제조업,2021-02-25
소프트웨어  개발 및 공급업,2021-02-24
특수  목적용 기계 제조업,2021-02-24
기초  화학물질 제조업,2021-02-16
광고업,2021-02-10
소프트웨어  개발 및 공급업,2021-02-05
자연과학  및 공학 연구개발업,2021-02-05
금융  지원 서비스업,2021-02-04
특수  목적용 기계 제조업,2021-02-03
소프트웨어  개발 및 공급업,2021-02-03
전자부품  제조업,2021-02-02
소프트웨어  개발 및 공급업,2021-01-29
소프트웨어  개발 및 공급업,2021-01-28
기타  섬유제품 제조업,2021-01-28
기타  화학제품 제조업,2021-01-27
토목  건설업,2021-01-25
광고업,2021-01-21
"측정,  시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2021-01-21
기타  화학제품 제조업,2020-12-30
자동차  차체 및 트레일러 제조업,2020-12-29
기타  전문 도매업,2020-12-24
부동산  임대 및 공급업,2020-12-23
"인형,장난감  및 오락용품 제조업",2020-12-23
기초  화학물질 제조업,2020-12-23
기초  의약물질 및 생물학적 제제 제조업,2020-12-23
의료용  기기 제조업,2020-12-22
소프트웨어  개발 및 공급업,2020-12-21
반도체  제조업,2020-12-21
기타  정보 서비스업,2020-12-17
금융  지원 서비스업,2020-12-16
전자부품  제조업,2020-12-14
기타  화학제품 제조업,2020-12-11
"비료,  농약 및 살균, 살충제 제조업",2020-12-11
"그외  기타 전문, 과학 및 기술 서비스업",2020-12-10
기타  금융업,2020-12-09
의료용  기기 제조업,2020-12-09
자동차  신품 부품 제조업,2020-12-07
의료용품  및 기타 의약 관련제품 제조업,2020-12-04
컴퓨터  및 주변장치 제조업,2020-12-03
컴퓨터  및 주변장치 제조업,2020-12-02
기타  화학제품 제조업,2020-12-02
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2020-11-26
특수  목적용 기계 제조업,2020-11-25
보험  및 연금관련 서비스업,2020-11-20
의료용품  및 기타 의약 관련제품 제조업,2020-11-20
자연과학  및 공학 연구개발업,2020-11-18
"그외  기타 전문, 과학 및 기술 서비스업",2020-11-17
음·식료품  및 담배 도매업,2020-11-12
전구  및 조명장치 제조업,2020-11-06
"측정,  시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2020-10-30
"측정,  시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2020-10-29
소프트웨어  개발 및 공급업,2020-10-28
전기  통신업,2020-10-23
의료용  기기 제조업,2020-10-22
의료용품  및 기타 의약 관련제품 제조업,2020-10-19
오디오물  출판 및 원판 녹음업,2020-10-15
특수  목적용 기계 제조업,2020-10-08
일반  목적용 기계 제조업,2020-09-24
일차전지  및 축전지 제조업,2020-09-23
"그외  기타 전문, 과학 및 기술 서비스업",2020-09-23
자연과학  및 공학 연구개발업,2020-09-22
기타  금융업,2020-09-22
그외  기타 제품 제조업,2020-09-21
기타  금융업,2020-09-18
전자부품  제조업,2020-09-18
자연과학  및 공학 연구개발업,2020-09-16
의료용  기기 제조업,2020-09-14
소프트웨어  개발 및 공급업,2020-09-10
"그외  기타 전문, 과학 및 기술 서비스업",2020-09-09
부동산  임대 및 공급업,2020-08-31
금융  지원 서비스업,2020-08-28
컴퓨터  및 주변장치 제조업,2020-08-24
기초  의약물질 및 생물학적 제제 제조업,2020-08-21
"영화,  비디오물, 방송프로그램 제작 및 배급업",2020-08-18
소프트웨어  개발 및 공급업,2020-08-18
기타  정보 서비스업,2020-08-13
소프트웨어  개발 및 공급업,2020-08-12
의약품  제조업,2020-08-10
부동산  임대 및 공급업,2020-08-07
기타  화학제품 제조업,2020-08-06
의료용  기기 제조업,2020-08-06
부동산  임대 및 공급업,2020-08-05
부동산  임대 및 공급업,2020-08-05
전자부품  제조업,2020-07-31
기타  화학제품 제조업,2020-07-30
금융  지원 서비스업,2020-07-29
"측정,  시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2020-07-29
의복  액세서리 제조업,2020-07-27
기초  의약물질 및 생물학적 제제 제조업,2020-07-24
소프트웨어  개발 및 공급업,2020-07-23
금융  지원 서비스업,2020-07-23
자연과학  및 공학 연구개발업,2020-07-22
특수  목적용 기계 제조업,2020-07-22
기타  전기장비 제조업,2020-07-16
부동산  임대 및 공급업,2020-07-16
금융  지원 서비스업,2020-07-15
"그외  기타 전문, 과학 및 기술 서비스업",2020-07-13
특수  목적용 기계 제조업,2020-07-06
의약품  제조업,2020-07-03
자연과학  및 공학 연구개발업,2020-07-02
시장조사  및 여론조사업,2020-07-01
의료용품  및 기타 의약 관련제품 제조업,2020-06-25
자연과학  및 공학 연구개발업,2020-06-24
특수  목적용 기계 제조업,2020-06-22
특수  목적용 기계 제조업,2020-06-22
의약품  제조업,2020-06-17
기타  식품 제조업,2020-06-17
동물용  사료 및 조제식품 제조업,2020-06-05
자연과학  및 공학 연구개발업,2020-05-22
전자부품  제조업,2020-05-21
기타  화학제품 제조업,2020-04-27
의료용품  및 기타 의약 관련제품 제조업,2020-04-24
전자부품  제조업,2020-03-16
광고업,2020-03-12
반도체  제조업,2020-03-06
전자부품  제조업,2020-03-04
"항공기,우주선  및 부품 제조업",2020-03-03
화학섬유  제조업,2020-02-28
기타  전기장비 제조업,2020-02-20
금융  지원 서비스업,2020-02-12
소프트웨어  개발 및 공급업,2020-02-10
유리  및 유리제품 제조업,2020-01-21
플라스틱제품  제조업,2019-12-27
기타  섬유제품 제조업,2019-12-27
자연과학  및 공학 연구개발업,2019-12-26
합성고무  및 플라스틱 물질 제조업,2019-12-26
통신  및 방송 장비 제조업,2019-12-26
전자부품  제조업,2019-12-24
일반  교습 학원,2019-12-24
기초  의약물질 및 생물학적 제제 제조업,2019-12-20
통신  및 방송 장비 제조업,2019-12-19
자연과학  및 공학 연구개발업,2019-12-19
의료용  기기 제조업,2019-12-19
소프트웨어  개발 및 공급업,2019-12-17
소프트웨어  개발 및 공급업,2019-12-11
기타  운송관련 서비스업,2019-12-10
"섬유,  의복, 신발 및 가죽제품 소매업",2019-12-09
기타  화학제품 제조업,2019-12-06
의료용  기기 제조업,2019-12-06
부동산  임대 및 공급업,2019-12-05
의료용  기기 제조업,2019-12-03
자연과학  및 공학 연구개발업,2019-12-02
기타  화학제품 제조업,2019-11-29
소프트웨어  개발 및 공급업,2019-11-28
의료용  기기 제조업,2019-11-28
자연과학  및 공학 연구개발업,2019-11-27
자동차  신품 부품 제조업,2019-11-25
자연과학  및 공학 연구개발업,2019-11-22
일반  목적용 기계 제조업,2019-11-21
"과실,  채소 가공 및 저장 처리업",2019-11-20
금융  지원 서비스업,2019-11-20
반도체  제조업,2019-11-19
"가죽,  가방 및 유사제품 제조업",2019-11-18
의료용품  및 기타 의약 관련제품 제조업,2019-11-14
전자부품  제조업,2019-11-13
기타  화학제품 제조업,2019-11-11
전자부품  제조업,2019-11-07
선박  및 보트 건조업,2019-11-06
부동산  임대 및 공급업,2019-11-06
소프트웨어  개발 및 공급업,2019-11-05
소프트웨어  개발 및 공급업,2019-10-31
소프트웨어  개발 및 공급업,2019-10-31
부동산  임대 및 공급업,2019-10-30
가구  제조업,2019-10-30
소프트웨어  개발 및 공급업,2019-10-29
"영화,  비디오물, 방송프로그램 제작 및 배급업",2019-10-29
기타  화학제품 제조업,2019-10-28
특수  목적용 기계 제조업,2019-10-25
그외  기타 제품 제조업,2019-10-24
기타  식품 제조업,2019-10-22
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-10-18
소프트웨어  개발 및 공급업,2019-10-18
전자부품  제조업,2019-10-18
"영화,  비디오물, 방송프로그램 제작 및 배급업",2019-10-18
소프트웨어  개발 및 공급업,2019-10-17
의약품  제조업,2019-10-14
"비료,  농약 및 살균, 살충제 제조업",2019-10-11
영상  및 음향기기 제조업,2019-10-02
자동차  신품 부품 제조업,2019-09-30
기초  의약물질 및 생물학적 제제 제조업,2019-09-20
반도체  제조업,2019-09-18
특수  목적용 기계 제조업,2019-09-18
일반  목적용 기계 제조업,2019-09-05
기초  의약물질 및 생물학적 제제 제조업,2019-09-03
기타  식품 제조업,2019-08-22
"도축,  육류 가공 및 저장 처리업",2019-08-20
"컴퓨터  프로그래밍, 시스템 통합 및 관리업",2019-08-20
기초  화학물질 제조업,2019-08-19
특수  목적용 기계 제조업,2019-08-14
의료용  기기 제조업,2019-08-08
1차  비철금속 제조업,2019-08-07
특수  목적용 기계 제조업,2019-08-05
기타  화학제품 제조업,2019-08-02
합성고무  및 플라스틱 물질 제조업,2019-08-01
전자부품  제조업,2019-08-01
전자부품  제조업,2019-07-30
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-07-25
특수  목적용 기계 제조업,2019-07-24
"영화,  비디오물, 방송프로그램 제작 및 배급업",2019-07-19
"자료처리,  호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2019-07-17
기타  정보 서비스업,2019-07-12
"서적,  잡지 및 기타 인쇄물 출판업",2019-07-11
자연과학  및 공학 연구개발업,2019-07-10
플라스틱제품  제조업,2019-07-04
일차전지  및 축전지 제조업,2019-07-01
특수  목적용 기계 제조업,2019-06-24
편조의복  제조업,2019-06-19
자연과학  및 공학 연구개발업,2019-06-12
"섬유,  의복, 신발 및 가죽제품 소매업",2019-06-10
의료용  기기 제조업,2019-06-05
"영화,  비디오물, 방송프로그램 제작 및 배급업",2019-05-31
반도체  제조업,2019-05-31
"내화,  비내화 요업제품 제조업",2019-05-29
의료용품  및 기타 의약 관련제품 제조업,2019-05-28
기타  금융업,2019-05-23
사진장비  및 광학기기 제조업,2019-05-21
특수  목적용 기계 제조업,2019-05-10
일반  목적용 기계 제조업,2019-05-08
기타  화학제품 제조업,2019-04-29
전자부품  제조업,2019-04-12
전자부품  제조업,2019-03-29
소프트웨어  개발 및 공급업,2019-03-28
의료용품  및 기타 의약 관련제품 제조업,2019-03-27
소프트웨어  개발 및 공급업,2019-03-22
기타  금융업,2019-03-15
전자부품  제조업,2019-03-14
소프트웨어  개발 및 공급업,2019-03-12
일차전지  및 축전지 제조업,2019-03-05
자연과학  및 공학 연구개발업,2019-02-20
기타  금융업,2019-02-13
기초  화학물질 제조업,2019-02-11
의료용품  및 기타 의약 관련제품 제조업,2019-02-01
여행사  및 기타 여행보조 서비스업,2019-01-30
소프트웨어  개발 및 공급업,2019-01-25
특수  목적용 기계 제조업,2018-12-28
항공  여객 운송업,2018-12-27
기타  식품 제조업,2018-12-26
기초  의약물질 및 생물학적 제제 제조업,2018-12-24
전자부품  제조업,2018-12-21
전구  및 조명장치 제조업,2018-12-21
"영화,  비디오물, 방송프로그램 제작 및 배급업",2018-12-21
전구  및 조명장치 제조업,2018-12-21
자동차  신품 부품 제조업,2018-12-20
기타  생활용품 소매업,2018-12-20
"영화,  비디오물, 방송프로그램 제작 및 배급업",2018-12-20
의약품  제조업,2018-12-19
기초  의약물질 및 생물학적 제제 제조업,2018-12-19
의료용품  및 기타 의약 관련제품 제조업,2018-12-19
통신  및 방송 장비 제조업,2018-12-14
기타  화학제품 제조업,2018-12-14
기타  식품 제조업,2018-12-13
"컴퓨터  프로그래밍, 시스템 통합 및 관리업",2018-12-12
특수  목적용 기계 제조업,2018-12-12
자동차  신품 부품 제조업,2018-12-07
자동차  신품 부품 제조업,2018-12-05
의료용품  및 기타 의약 관련제품 제조업,2018-12-05
소프트웨어  개발 및 공급업,2018-12-03
기타  금융업,2018-11-30
스포츠  서비스업,2018-11-29
의료용  기기 제조업,2018-11-29
특수  목적용 기계 제조업,2018-11-29
의료용  기기 제조업,2018-11-28
전구  및 조명장치 제조업,2018-11-28
기초  의약물질 및 생물학적 제제 제조업,2018-11-28
소프트웨어  개발 및 공급업,2018-11-23
"컴퓨터  프로그래밍, 시스템 통합 및 관리업",2018-11-23
의료용  기기 제조업,2018-11-22
자연과학  및 공학 연구개발업,2018-11-22
기타  금융업,2018-11-21
의약품  제조업,2018-11-21
플라스틱제품  제조업,2018-11-20
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-11-15
기타  식품 제조업,2018-11-14
자연과학  및 공학 연구개발업,2018-11-09
기타  전기장비 제조업,2018-11-06
그외  기타 제품 제조업,2018-11-02
의약품  제조업,2018-11-01
특수  목적용 기계 제조업,2018-10-31
특수  목적용 기계 제조업,2018-10-26
의료용품  및 기타 의약 관련제품 제조업,2018-10-26
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-10-15
1차  철강 제조업,2018-10-05
기타  금융업,2018-10-04
무점포  소매업,2018-10-04
의약품  제조업,2018-10-02
봉제의복  제조업,2018-10-01
생활용품  도매업,2018-09-21
의료용  기기 제조업,2018-09-21
건물설비  설치 공사업,2018-09-14
특수  목적용 기계 제조업,2018-09-13
기타  사업지원 서비스업,2018-09-13
자연과학  및 공학 연구개발업,2018-09-10
소프트웨어  개발 및 공급업,2018-09-07
반도체  제조업,2018-08-30
전자부품  제조업,2018-08-28
"컴퓨터  프로그래밍, 시스템 통합 및 관리업",2018-08-24
특수  목적용 기계 제조업,2018-08-23
기초  의약물질 및 생물학적 제제 제조업,2018-08-20
"영화,  비디오물, 방송프로그램 제작 및 배급업",2018-08-13
"비료,  농약 및 살균, 살충제 제조업",2018-08-10
부동산  임대 및 공급업,2018-08-08
특수  목적용 기계 제조업,2018-08-07
소프트웨어  개발 및 공급업,2018-08-06
"시멘트,  석회, 플라스터 및 그 제품 제조업",2018-08-06
소프트웨어  개발 및 공급업,2018-08-02
항공  여객 운송업,2018-08-01
"컴퓨터  프로그래밍, 시스템 통합 및 관리업",2018-07-27
의약품  제조업,2018-07-26
봉제의복  제조업,2018-07-23
통신  및 방송 장비 제조업,2018-07-20
자연과학  및 공학 연구개발업,2018-07-18
기타  금속 가공제품 제조업,2018-07-13
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-07-13
화학섬유  제조업,2018-07-13
화학섬유  제조업,2018-07-13
기초  화학물질 제조업,2018-07-13
의약품  제조업,2018-07-12
기타  금융업,2018-07-06
영상  및 음향기기 제조업,2018-07-05
기타  섬유제품 제조업,2018-06-29
부동산  임대 및 공급업,2018-06-27
자연과학  및 공학 연구개발업,2018-06-26
봉제의복  제조업,2018-06-25
건물  건설업,2018-06-12
자연과학  및 공학 연구개발업,2018-06-08
"전동기,  발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-06-07
동물용  사료 및 조제식품 제조업,2018-06-01
의료용  기기 제조업,2018-05-29
의료용  기기 제조업,2018-05-28
자동차  차체 및 트레일러 제조업,2018-05-16
의료용  기기 제조업,2018-05-08
기초  화학물질 제조업,2018-04-27
종합  소매업,2018-04-06
특수  목적용 기계 제조업,2018-04-04
광고업,2018-03-28
기타  화학제품 제조업,2018-03-22
특수  목적용 기계 제조업,2018-03-15
신탁업  및 집합투자업,2018-03-14
의료용  기기 제조업,2018-02-22
기초  의약물질 및 생물학적 제제 제조업,2018-02-21
의약품  제조업,2018-02-13
작물  재배업,2018-02-12
의료용품  및 기타 의약 관련제품 제조업,2018-02-12
기초  의약물질 및 생물학적 제제 제조업,2018-02-09
"자료처리,  호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2018-02-08
소프트웨어  개발 및 공급업,2018-02-05
봉제의복  제조업,2018-02-01
기타  비금속 광물제품 제조업,2018-01-26
특수  목적용 기계 제조업,2018-01-25
개인  및 가정용품 임대업,2018-01-11
합성고무  및 플라스틱 물질 제조업,2018-01-05
